date,name,Active,Recovered,Deaths,TotalConfr
"August 5, 2020",Aguho,20,10,0,30
"August 5, 2020",Magtanggol,3,11,0,14
"August 5, 2020",Martirez del '96,4,7,1,12
"August 5, 2020",Poblacion,3,2,0,5
"August 5, 2020",San Pedro,7,9,0,16
"August 5, 2020",San Roque,20,4,1,25
"August 5, 2020",Santa Ana,66,58,2,126
"August 5, 2020",Santo Rosario-Kanluran,10,4,1,15
"August 5, 2020",Santo Rosario-Silangan,32,8,1,41
"August 5, 2020",Tabacalera,29,20,1,50
"August 5, 2020",TOTALS,194,133,7,334
